codigo,municipio,uf,ufTabela,populacao
4319158,São Miguel das Missões,Rio Grande do Sul,riograndedosul,7673
2515005,São Miguel de Taipu,Paraíba,paraiba,7368
2807006,São Miguel do Aleixo,Sergipe,sergipe,3930
3163805,São Miguel do Anta,Minas Gerais,minasgerais,6938
5220207,São Miguel do Araguaia,Goiás,goiais,21993
2210391,São Miguel do Fidalgo,Piauí,piaui,3039
2412559,São Miguel do Gostoso,Rio Grande do Norte,riograndedonorte,10282
1507607,São Miguel do Guamá,Pará,para,58986
1100320,São Miguel do Guaporé,Rondônia,rondonia,23005
4125704,São Miguel do Iguaçu,Paraná,parana,27452
4217204,São Miguel do Oeste,Santa Catarina,santacatarina,40482
5220264,São Miguel do Passa-Quatro,Goiás,goiais,4057
2210409,São Miguel do Tapuio,Piauí,piaui,17662
1720200,São Miguel do Tocantins,Tocantins,tocantins,12139
2708600,São Miguel dos Campos,Alagoas,alagoas,61251
2708709,São Miguel dos Milagres,Alagoas,alagoas,7951
4319208,São Nicolau,Rio Grande do Sul,riograndedosul,5265
5220280,São Patrício,Goiás,goiais,2036
3550308,São Paulo,São Paulo,saopaulo,12252023
4319307,São Paulo das Missões,Rio Grande do Sul,riograndedosul,5790
1303908,São Paulo de Olivença,Amazonas,amazonas,39299
2412609,São Paulo do Potengi,Rio Grande do Norte,riograndedonorte,17579
3550407,São Pedro,São Paulo,saopaulo,35653
2412708,São Pedro,Rio Grande do Norte,riograndedonorte,5971
2111532,São Pedro da Água Branca,Maranhão,maranhao,12690
3305208,São Pedro da Aldeia,Rio de Janeiro,riodejaneiro,104476
5107404,São Pedro da Cipa,Mato Grosso,matogrosso,4727
4319356,São Pedro da Serra,Rio Grande do Sul,riograndedosul,3801
3163904,São Pedro da União,Minas Gerais,minasgerais,4659
4319364,São Pedro das Missões,Rio Grande do Sul,riograndedosul,2009
4217253,São Pedro de Alcântara,Santa Catarina,santacatarina,5823
4319372,São Pedro do Butiá,Rio Grande do Sul,riograndedosul,2947
4125753,São Pedro do Iguaçu,Paraná,parana,5897
4125803,São Pedro do Ivaí,Paraná,parana,10981
4125902,São Pedro do Paraná,Paraná,parana,2313
2210508,São Pedro do Piauí,Piauí,piaui,14291
3164100,São Pedro do Suaçuí,Minas Gerais,minasgerais,5246
4319406,São Pedro do Sul,Rio Grande do Sul,riograndedosul,16198
3550506,São Pedro do Turvo,São Paulo,saopaulo,7666
2111573,São Pedro dos Crentes,Maranhão,maranhao,4668
3164001,São Pedro dos Ferros,Minas Gerais,minasgerais,7781
2412807,São Rafael,Rio Grande do Norte,riograndedonorte,8202
2111607,São Raimundo das Mangabeiras,Maranhão,maranhao,18868
2111631,São Raimundo do Doca Bezerra,Maranhão,maranhao,5237
2210607,São Raimundo Nonato,Piauí,piaui,34710
2111672,São Roberto,Maranhão,maranhao,6719
3164209,São Romão,Minas Gerais,minasgerais,12337
3550605,São Roque,São Paulo,saopaulo,91016
3164308,São Roque de Minas,Minas Gerais,minasgerais,7051
3204955,São Roque do Canaã,Espírito Santo,espiritosanto,12415
1720259,São Salvador do Tocantins,Tocantins,tocantins,3082
3550704,São Sebastião,São Paulo,saopaulo,88980
2708808,São Sebastião,Alagoas,alagoas,34152
4126009,São Sebastião da Amoreira,Paraná,parana,8853
3164407,São Sebastião da Bela Vista,Minas Gerais,minasgerais,5504
1507706,São Sebastião da Boa Vista,Pará,para,26640
3550803,São Sebastião da Grama,São Paulo,saopaulo,12182
3164431,São Sebastião da Vargem Alegre,Minas Gerais,minasgerais,3007
2515104,São Sebastião de Lagoa de Roça,Paraíba,paraiba,11661
3305307,São Sebastião do Alto,Rio de Janeiro,riodejaneiro,9357
3164472,São Sebastião do Anta,Minas Gerais,minasgerais,6555
4319505,São Sebastião do Caí,Rio Grande do Sul,riograndedosul,25685
3164506,São Sebastião do Maranhão,Minas Gerais,minasgerais,10044
3164605,São Sebastião do Oeste,Minas Gerais,minasgerais,6775
3164704,São Sebastião do Paraíso,Minas Gerais,minasgerais,70956
2929503,São Sebastião do Passé,Bahia,bahia,44300
3164803,São Sebastião do Rio Preto,Minas Gerais,minasgerais,1506
3164902,São Sebastião do Rio Verde,Minas Gerais,minasgerais,2241
1720309,São Sebastião do Tocantins,Tocantins,tocantins,4805
1303957,São Sebastião do Uatumã,Amazonas,amazonas,14020
2515203,São Sebastião do Umbuzeiro,Paraíba,paraiba,3489
4319604,São Sepé,Rio Grande do Sul,riograndedosul,23621
5220405,São Simão,Goiás,goiais,20645
3550902,São Simão,São Paulo,saopaulo,15322
3165008,São Tiago,Minas Gerais,minasgerais,10941
3165107,São Tomás de Aquino,Minas Gerais,minasgerais,7021
2412906,São Tomé,Rio Grande do Norte,riograndedonorte,11055
4126108,São Tomé,Paraná,parana,5722
3165206,São Tomé das Letras,Minas Gerais,minasgerais,7089
4319703,São Valentim,Rio Grande do Sul,riograndedosul,3299
4319711,São Valentim do Sul,Rio Grande do Sul,riograndedosul,2242
1720499,São Valério da Natividade,Tocantins,tocantins,3960
4319737,São Valério do Sul,Rio Grande do Sul,riograndedosul,2727
4319752,São Vendelino,Rio Grande do Sul,riograndedosul,2243
3551009,São Vicente,São Paulo,saopaulo,365798
2413003,São Vicente,Rio Grande do Norte,riograndedonorte,6424
3165305,São Vicente de Minas,Minas Gerais,minasgerais,7753
2515401,São Vicente do Seridó,Paraíba,paraiba,10775
4319802,São Vicente do Sul,Rio Grande do Sul,riograndedosul,8721
2111706,São Vicente Ferrer,Maranhão,maranhao,22247
2613800,São Vicente Férrer,Pernambuco,pernambuco,18018
2515302,Sapé,Paraíba,paraiba,52625
2929602,Sapeaçu,Bahia,bahia,17398
5107875,Sapezal,Mato Grosso,matogrosso,25881
4319901,Sapiranga,Rio Grande do Sul,riograndedosul,81734
4126207,Sapopema,Paraná,parana,6736
3165404,Sapucaí-Mirim,Minas Gerais,minasgerais,6930
3305406,Sapucaia,Rio de Janeiro,riodejaneiro,18228
1507755,Sapucaia,Pará,para,5930
4320008,Sapucaia do Sul,Rio Grande do Sul,riograndedosul,141075
3305505,Saquarema,Rio de Janeiro,riodejaneiro,89170
4126256,Sarandi,Paraná,parana,96688
4320107,Sarandi,Rio Grande do Sul,riograndedosul,24489
3551108,Sarapuí,São Paulo,saopaulo,10285
3165503,Sardoá,Minas Gerais,minasgerais,6300
3551207,Sarutaiá,São Paulo,saopaulo,3638
3165537,Sarzedo,Minas Gerais,minasgerais,32752
2929701,Sátiro Dias,Bahia,bahia,17273
2708907,Satuba,Alagoas,alagoas,13828
2111722,Satubinha,Maranhão,maranhao,13914
2929750,Saubara,Bahia,bahia,12043
4126272,Saudade do Iguaçu,Paraná,parana,5500
4217303,Saudades,Santa Catarina,santacatarina,9745
2929800,Saúde,Bahia,bahia,12913
4217402,Schroeder,Santa Catarina,santacatarina,21365
2929909,Seabra,Bahia,bahia,44091
4217501,Seara,Santa Catarina,santacatarina,17541
3551306,Sebastianópolis do Sul,São Paulo,saopaulo,3513
2210623,Sebastião Barros,Piauí,piaui,3469
2930006,Sebastião Laranjeiras,Bahia,bahia,11434
2210631,Sebastião Leal,Piauí,piaui,4294
4320206,Seberi,Rio Grande do Sul,riograndedosul,10750
4320230,Sede Nova,Rio Grande do Sul,riograndedosul,2907
4320263,Segredo,Rio Grande do Sul,riograndedosul,7421
4320305,Selbach,Rio Grande do Sul,riograndedosul,5100
5007802,Selvíria,Mato Grosso do Sul,matogrossodosul,6529
3165560,Sem-Peixe,Minas Gerais,minasgerais,2633
1200500,Sena Madureira,Acre,acre,45848
2111748,Senador Alexandre Costa,Maranhão,maranhao,11141
3165578,Senador Amaral,Minas Gerais,minasgerais,5356
5220454,Senador Canedo,Goiás,goiais,115371
3165602,Senador Cortes,Minas Gerais,minasgerais,2005
